ID,AREA,DATA,DISTRICT,CTYSOSID,FIPS,FIPS2,CTYNAME,CNTY,COUNTY,PRECINCT_I,PRECINCT_N
257,162.791229,1640,133001,133001,13133,133,Greene,66,GREENE,001,GREENSBORO
258,62.012695,2210,21902-CF,21902-CF,13219,219,Oconee,108,OCONEE,02-CF,COLHAM FERRY
259,6.834014,386,0591C,0591C,13059,059,Clarke,29,CLARKE,1C,1C
260,2.412203,407,0598C,0598C,13059,059,Clarke,29,CLARKE,8C,8C
261,1.307209,406,0598B,0598B,13059,059,Clarke,29,CLARKE,8B,8B
262,3.499356,392,0594A,0594A,13059,059,Clarke,29,CLARKE,4A,4A
263,1.574633,405,0598A,0598A,13059,059,Clarke,29,CLARKE,8A,8A
264,12.781701,387,0591D,0591D,13059,059,Clarke,29,CLARKE,1D,1D
265,11.649491,385,0591B,0591B,13059,059,Clarke,29,CLARKE,1B,1B
266,2.450064,389,0592B,0592B,13059,059,Clarke,29,CLARKE,2B,2B
267,16.295578,384,0591A,0591A,13059,059,Clarke,29,CLARKE,1A,1A
268,21.86302,2085,195HUL,195HUL,13195,195,Madison,95,MADISON,HUL,HULL
269,55.316078,2222,221CR,221CR,13221,221,Oglethorpe,109,OGLETHORPE,CR,CRAWFORD
270,51.770184,2221,221BV,221BV,13221,221,Oglethorpe,109,OGLETHORPE,BV,BEAVERDAM
271,28.002102,2079,195COB,195COB,13195,195,Madison,95,MADISON,COB,COLBERT
272,16.518339,2081,195COM,195COM,13195,195,Madison,95,MADISON,COM,COMER
273,74.452484,1641,133004,133004,13133,133,Greene,66,GREENE,004,UNION POINT
274,145.352631,2444,265601,265601,13265,265,Taliaferro,131,TALIAFERRO,601,CRAWFORDVILLE
275,58.759426,2659,3173B,3173B,13317,317,Wilkes,157,WILKES,3B,RAYLE CITY HALL
276,335.086212,2223,221LX,221LX,13221,221,Oglethorpe,109,OGLETHORPE,LX,LEXINGTON
277,17.609787,2083,195FOR,195FOR,13195,195,Madison,95,MADISON,FOR,FORK
278,29.79933,1061,105202,105202,13105,105,Elbert,52,ELBERT,202,WEBBSBORO
279,29.386745,1056,105193,105193,13105,105,Elbert,52,ELBERT,193,WYCHE
280,24.73081,2089,195PIT,195PIT,13195,195,Madison,95,MADISON,PIT,PITTMAN
281,23.988005,2086,195ILA,195ILA,13195,195,Madison,95,MADISON,ILA,ILA
282,21.57502,2090,195POC,195POC,13195,195,Madison,95,MADISON,POC,POCA
283,62.538754,1174,1197,1197,13119,119,Franklin,59,FRANKLIN,7,SOUTHWEST FRANKLIN
284,42.505653,2082,195DAN,195DAN,13195,195,Madison,95,MADISON,DAN,DANIELSVILLE
285,35.430733,2087,195MIL,195MIL,13195,195,Madison,95,MADISON,MIL,MILL
286,21.395624,2084,195HAR,195HAR,13195,195,Madison,95,MADISON,HAR,HARRISON
287,14.824164,1173,1196,1196,13119,119,Franklin,59,FRANKLIN,6,ROYSTON
288,48.727768,1169,1192,1192,13119,119,Franklin,59,FRANKLIN,2,WEST FRANKLIN
289,55.207977,1168,1191,1191,13119,119,Franklin,59,FRANKLIN,1,CARNESVILLE
290,183.925476,2420,257SC1,257SC1,13257,257,Stephens,127,STEPHENS,SC1,SENIOR CENTER
291,22.167021,1172,1195,1195,13119,119,Franklin,59,FRANKLIN,5,CANON
292,24.251804,1171,1194,1194,13119,119,Franklin,59,FRANKLIN,4,LAVONIA
293,38.587616,1170,1193,1193,13119,119,Franklin,59,FRANKLIN,3,NORTHEAST FRANKLIN
294,10.435488,2088,195PAO,195PAO,13195,195,Madison,95,MADISON,PAO,PAOLI
295,21.602507,2080,195COL,195COL,13195,195,Madison,95,MADISON,COL,COLLINS
296,35.068352,1060,105201,105201,13105,105,Elbert,52,ELBERT,201,GOSHEN
297,36.596874,1874,1473,1473,13147,147,Hart,73,HART,3,GOLDMINE
298,40.086914,1058,105197,105197,13105,105,Elbert,52,ELBERT,197,PIKE
299,16.072447,1052,105189,105189,13105,105,Elbert,52,ELBERT,189,ELBERTON
300,32.831509,1062,105315,105315,13105,105,Elbert,52,ELBERT,315,CENTERVILLE
301,39.429245,1879,1478,1478,13147,147,Hart,73,HART,8,BIO
302,33.235874,1875,1474,1474,13147,147,Hart,73,HART,4,COKESBURY
303,25.298485,1877,1476,1476,13147,147,Hart,73,HART,6,BOWERSVILLE
304,31.436481,1878,1477,1477,13147,147,Hart,73,HART,7,SHOAL CREEK
305,44.1408,1873,1472,1472,13147,147,Hart,73,HART,2,HARTWELL
306,46.862141,1876,1475,1475,13147,147,Hart,73,HART,5,REED CREEK
307,15.349221,2624,311101,311101,13311,311,White,154,WHITE,101,TOWN CREEK
308,17.537722,2616,311021,311021,13311,311,White,154,WHITE,021,BLUE RIDGE
309,24.793394,2623,311091,311091,13311,311,White,154,WHITE,091,TESNATEE
310,44.076622,2534,29111,29111,13291,291,Union,144,UNION,11,CHOESTOE
311,29.897709,2539,2916,2916,13291,291,Union,144,UNION,6,TRACKROCK
312,25.218613,2619,311051,311051,13311,311,White,154,WHITE,051,MT YONAH
313,18.129827,2615,311011,311011,13311,311,White,154,WHITE,011,BLUE CREEK
314,23.546494,2620,311061,311061,13311,311,White,154,WHITE,061,NACOOCHEE
315,55.184601,2621,311031,311031,13311,311,White,154,WHITE,031,ROBERTSTOWN-HELEN
316,30.649288,2505,2811468,2811468,13281,281,Towns,139,TOWNS,1468,YOUNG HARRIS
513,55.307823,1883,149EPH,149EPH,13149,149,Heard,74,HEARD,EPH,EPHESUS
514,30.818043,187,0451111,0451111,13045,045,Carroll,22,CARROLL,1111,BOWDON
515,40.927967,194,0451533,0451533,13045,045,Carroll,22,CARROLL,1533,TYUS
516,68.139587,2516,28507,28507,13285,285,Troup,141,TROUP,07,EAST VERNON
517,6.830202,2523,28516,28516,13285,285,Troup,141,TROUP,16,NORTHSIDE
518,11.147597,2510,28501,28501,13285,285,Troup,141,TROUP,01,HOLLIS HAND
519,73.276161,1884,149FRA,149FRA,13149,149,Heard,74,HEARD,FRA,FRANKLIN
520,7.979911,2512,28503,28503,13285,285,Troup,141,TROUP,03,HAMMETT RD
521,65.219604,2518,28510,28510,13285,285,Troup,141,TROUP,10,MCCLENDON
522,25.328699,2520,28512,28512,13285,285,Troup,141,TROUP,12,GARDNER NEWMAN
523,35.984749,1881,149COO,149COO,13149,149,Heard,74,HEARD,COO,COOKSVILLE-CORINTH
524,56.221111,1880,149CEN,149CEN,13149,149,Heard,74,HEARD,CEN,CENTRALHATCHEE
525,10.210712,212,045714BW,045714BW,13045,045,Carroll,22,CARROLL,714BW,OLD CAMP CHURCH
526,55.731445,204,045713,045713,13045,045,Carroll,22,CARROLL,713,ROOPVILLE
527,10.708975,213,045715,045715,13045,045,Carroll,22,CARROLL,715,OAK GROVE
528,31.803892,1882,149ENO,149ENO,13149,149,Heard,74,HEARD,ENO,ENON GROVE
529,19.66419,711,07704,07704,13077,077,Coweta,38,COWETA,04,DRESDEN
530,28.585548,192,0451483,0451483,13045,045,Carroll,22,CARROLL,1483,CLEM
531,79.295082,408,0611,0611,13061,061,Clay,30,CLAY,1,BLUFFTON
532,56.816292,2294,243131,243131,13243,243,Randolph,120,RANDOLPH,131,COLEMAN
533,71.215424,169,0374,0374,13037,037,Calhoun,19,CALHOUN,4,EDISON-ARLINGTON
534,1.892777,168,0373,0373,13037,037,Calhoun,19,CALHOUN,3,EDISON
535,94.003159,2297,243718A,243718A,13243,243,Randolph,120,RANDOLPH,718A,CUTHBERT-COURTHOUSE
536,90.82238,2299,243954,243954,13243,243,Randolph,120,RANDOLPH,954,SPRINGVALE
537,0.371584,2298,243718B,243718B,13243,243,Randolph,120,RANDOLPH,718B,CUTHBERT
538,99.383759,2296,243566,243566,13243,243,Randolph,120,RANDOLPH,566,BENEVOLENCE
539,110.140686,167,0372,0372,13037,037,Calhoun,19,CALHOUN,2,MORGAN
540,89.800865,2295,243334,243334,13243,243,Randolph,120,RANDOLPH,334,SHELLMAN
541,98.603027,166,0371,0371,13037,037,Calhoun,19,CALHOUN,1,LEARY
542,49.133503,2467,27306,27306,13273,273,Terrell,135,TERRELL,06,HEROD-DOVER
543,64.142136,2466,27305,27305,13273,273,Terrell,135,TERRELL,05,GRAVES
544,11.657743,2462,27301,27301,13273,273,Terrell,135,TERRELL,01,DAWSON
545,64.696243,2465,27304,27304,13273,273,Terrell,135,TERRELL,04,PARROTT
546,146.250275,2423,25905,25905,13259,259,Stewart,128,STEWART,05,LUMPKIN
547,73.803009,2422,25904,25904,13259,259,Stewart,128,STEWART,04,LOUVALE
548,130.714279,2421,25902,25902,13259,259,Stewart,128,STEWART,02,RICHLAND
549,68.596649,328,053FTBEN2,,,,,,,,
550,1.927685,2183,215FTBEN2,,,,,,,,
551,1.487688,2185,215FTBEN4,,,,,,,,
552,2.717822,2168,215113,215113,13215,215,Muscogee,106,MUSCOGEE,113,MT PILGRIM
553,6.27843,2182,215FTBEN1,,,,,,,,
554,2.430126,2159,215103,215103,13215,215,Muscogee,106,MUSCOGEE,103,Shirley Winston
555,2.271872,2180,215126,215126,13215,215,Muscogee,106,MUSCOGEE,126,EDGEWOOD
556,3.749718,2171,215116,215116,13215,215,Muscogee,106,MUSCOGEE,116,HOLSEY
557,1.773418,2169,215114,215114,13215,215,Muscogee,106,MUSCOGEE,114,FAITH TABERNACLE
558,63.25267,326,0531,0531,13053,053,Chattahoochee,26,CHATTAHOOCHEE,1,ACTIVITY CENTER
559,66.610001,2186,215ZZZZZZ,,,,,,,,
560,111.580299,327,053FTBEN1,,,,,,,,
561,210.706955,2612,307P1,307P1,13307,307,Webster,152,WEBSTER,P1,PRESTON 1
562,52.263069,2094,197948,197948,13197,197,Marion,96,MARION,948,BRANTLEY
563,38.443558,2091,197339,197339,13197,197,Marion,96,MARION,339,PINEKNOT
564,191.595779,2092,197807,197807,13197,197,Marion,96,MARION,807,BUENA VISTA
565,52.689632,2095,197955,197955,13197,197,Marion,96,MARION,955,FORT PERRY
566,32.427292,2093,197808,197808,13197,197,Marion,96,MARION,808,TAZEWELL
567,68.71434,1000,09525,09525,13095,095,Dougherty,47,DOUGHERTY,25,Christ Church
568,85.361954,984,09509,09509,13095,095,Dougherty,47,DOUGHERTY,09,2nd Mt. Zion Church
569,89.345657,2463,27302,27302,13273,273,Terrell,135,TERRELL,02,SASSER
570,8.254605,983,09508,09508,13095,095,Dougherty,47,DOUGHERTY,08,Westown Elementary School
769,9.250289,2564,297417,297417,13297,297,Walton,147,WALTON,417,LOGANVILE NORTH
770,10.741276,2571,297424,297424,13297,297,Walton,147,WALTON,424,BAY CREEK
771,13.747074,1645,135001,135001,13135,135,Gwinnett,67,GWINNETT,001,HARBINS A
772,5.926,1795,135151,135151,13135,135,Gwinnett,67,GWINNETT,151,HARBINS C
773,16.696882,2558,2971663,2971663,13297,297,Walton,147,WALTON,1663,BOLD SPRINGS
774,18.005203,55,01316,01316,13013,013,Barrow,7,BARROW,16,16
775,11.292897,1777,135133,135133,13135,135,Gwinnett,67,GWINNETT,133,HARBINS B
776,7.035074,1672,135028,135028,13135,135,Gwinnett,67,GWINNETT,028,ROCKYCREEK A
777,6.287331,1773,135129,135129,13135,135,Gwinnett,67,GWINNETT,129,DUNCANS B
778,14.527213,50,01303,01303,13013,013,Barrow,7,BARROW,03,03
779,14.274905,51,01304,01304,13013,013,Barrow,7,BARROW,04,04
780,22.68363,49,01302,01302,13013,013,Barrow,7,BARROW,02,02
781,24.922434,2560,297250,297250,13297,297,Walton,147,WALTON,250,WALKER PARK
782,11.640993,2567,297420,297420,13297,297,Walton,147,WALTON,420,NORTH MONROE
783,11.965262,2561,297414,297414,13297,297,Walton,147,WALTON,414,GRATIS
784,18.961742,48,01301,01301,13013,013,Barrow,7,BARROW,01,01
785,18.210096,54,01313,01313,13013,013,Barrow,7,BARROW,13,13
786,22.46381,53,01308,01308,13013,013,Barrow,7,BARROW,08,08
787,54.587776,2148,21102,21102,13211,211,Morgan,104,MORGAN,02,Centennial
788,35.555069,2578,297559,297559,13297,297,Walton,147,WALTON,559,GOOD HOPE
789,109.391037,2149,21103,21103,13211,211,Morgan,104,MORGAN,03,Gibbs
790,8.962469,2143,21101,21101,13211,211,Morgan,104,MORGAN,01,Rec Dept
791,75.987595,2144,21105,21105,13211,211,Morgan,104,MORGAN,05,Buckhead
792,36.451672,2213,21903-BI,21903-BI,13219,219,Oconee,108,OCONEE,03-BI,BISHOP
793,17.645382,2575,297454,297454,13297,297,Walton,147,WALTON,454,MOUNTAIN
794,24.842287,2216,21905-DC,21905-DC,13219,219,Oconee,108,OCONEE,05-DC,DARK CORNER
795,19.878187,2215,21904-NO,21904-NO,13219,219,Oconee,108,OCONEE,04-NO,NORTH OCONEE
796,7.4502,2217,21906-BO,21906-BO,13219,219,Oconee,108,OCONEE,06-BO,BOGART
797,33.851265,52,01305,01305,13013,013,Barrow,7,BARROW,05,05
798,10.811524,398,0596A,0596A,13059,059,Clarke,29,CLARKE,6A,6A
799,8.783953,2218,21907-MH,21907-MH,13219,219,Oconee,108,OCONEE,07-MH,MARSWOOD HALL
800,19.684868,2220,21908-CC,21908-CC,13219,219,Oconee,108,OCONEE,08-CC,CIVIC CENTER
801,2.032123,400,0596C,0596C,13059,059,Clarke,29,CLARKE,6C,6C
802,7.329349,2209,21901-CH,21901-CH,13219,219,Oconee,108,OCONEE,01-CH,CITY HALL
803,2.874952,402,0597A,0597A,13059,059,Clarke,29,CLARKE,7A,7A
804,1.471172,403,0597B,0597B,13059,059,Clarke,29,CLARKE,7B,7B
805,4.12172,404,0597C,0597C,13059,059,Clarke,29,CLARKE,7C,7C
806,2.940513,393,0594B,0594B,13059,059,Clarke,29,CLARKE,4B,4B
807,5.709425,399,0596B,0596B,13059,059,Clarke,29,CLARKE,6B,6B
808,1.665965,401,0596D,0596D,13059,059,Clarke,29,CLARKE,6D,6D
809,3.858356,395,0595B,0595B,13059,059,Clarke,29,CLARKE,5B,5B
810,87.127846,1945,1574000,1574000,13157,157,Jackson,78,JACKSON,4000,SOUTH JACKSON
811,2.55353,394,0595A,0595A,13059,059,Clarke,29,CLARKE,5A,5A
812,1.22305,390,0593A,0593A,13059,059,Clarke,29,CLARKE,3A,3A
813,1.107512,396,0595C,0595C,13059,059,Clarke,29,CLARKE,5C,5C
814,6.563315,397,0595D,0595D,13059,059,Clarke,29,CLARKE,5D,5D
1025,16.056118,2153,2131895,2131895,13213,213,Murray,105,MURRAY,1895,SPRING PLACE
1026,20.319653,2151,2131039,2131039,13213,213,Murray,105,MURRAY,1039,SHUCK PEN
1027,75.276558,2155,213872,213872,13213,213,Murray,105,MURRAY,872,CARTERS-DOOLITTLE
1028,45.047832,2154,213824,213824,13213,213,Murray,105,MURRAY,824,TOWN
1029,53.460049,2150,2131013,2131013,13213,213,Murray,105,MURRAY,1013,MCDONALD
1030,18.189869,2639,313LT,313LT,13313,313,Whitfield,155,WHITFIELD,LT,LT
1031,23.292048,2646,313UT,313UT,13313,313,Whitfield,155,WHITFIELD,UT,UT
1032,76.123199,2156,213874,213874,13213,213,Murray,105,MURRAY,874,NORTH
1033,45.671329,1580,12303,12303,13123,123,Gilmer,61,GILMER,03,TAILS CREEK
1034,54.975586,1585,12308,12308,13123,123,Gilmer,61,GILMER,08,MOUNTAINTOWN
1035,15.524012,1578,12301,12301,13123,123,Gilmer,61,GILMER,01,ELLIJAY SOUTH
1036,9.78743,1587,12310,12310,13123,123,Gilmer,61,GILMER,10,ELLIJAY NORTH
1037,12.192782,1586,12309,12309,13123,123,Gilmer,61,GILMER,09,EAST ELLIJAY
1038,31.924316,1590,12313,12313,13123,123,Gilmer,61,GILMER,13,ELLIJAY NORTHEAST
1039,33.675266,1584,12307,12307,13123,123,Gilmer,61,GILMER,07,BOARDTOWN
1040,94.849442,1075,111COLW,111COLW,13111,111,Fannin,55,FANNIN,COLW,COLWELL
1041,17.787098,1081,111MOBI,111MOBI,13111,111,Fannin,55,FANNIN,MOBI,MOBILE
1042,39.854767,1579,12302,12302,13123,123,Gilmer,61,GILMER,02,CARTECAY
1043,77.15033,1589,12312,12312,13123,123,Gilmer,61,GILMER,12,ROY ROAD
1044,32.004803,1583,12306,12306,13123,123,Gilmer,61,GILMER,06,CHERRY LOG
1045,25.128729,1086,111TOCC,111TOCC,13111,111,Fannin,55,FANNIN,TOCC,TOCCOA
1046,61.058868,1084,111SKEN,111SKEN,13111,111,Fannin,55,FANNIN,SKEN,SKENIAH
1047,30.25704,1083,111NOON,111NOON,13111,111,Fannin,55,FANNIN,NOON,NOONTOOTLA
1048,49.318298,1082,111MORG,111MORG,13111,111,Fannin,55,FANNIN,MORG,MORGANTON
1049,22.245543,1085,111SUGC,111SUGC,13111,111,Fannin,55,FANNIN,SUGC,SUGAR CREEK
1050,17.905727,1077,111FLIN,111FLIN,13111,111,Fannin,55,FANNIN,FLIN,FLINTHILL
1051,19.309908,1080,111MINE,111MINE,13111,111,Fannin,55,FANNIN,MINE,MINERAL BLUFF
1052,12.86427,1079,111HOTH,111HOTH,13111,111,Fannin,55,FANNIN,HOTH,HOTHOUSE
1053,17.642593,1078,111HEMP,111HEMP,13111,111,Fannin,55,FANNIN,HEMP,HEMPTOWN
1054,23.972656,1076,111FAIR,111FAIR,13111,111,Fannin,55,FANNIN,FAIR,FAIRPLAY
1055,74.894501,2538,2915,2915,13291,291,Union,144,UNION,5,SUCHES
1056,25.41655,2535,2912,2912,13291,291,Union,144,UNION,2,JONES CREEK
1057,19.463406,2533,29110,29110,13291,291,Union,144,UNION,10,COOSA
1058,24.187122,2536,2913,2913,13291,291,Union,144,UNION,3,OWLTOWN
1059,21.687349,2540,2917,2917,13291,291,Union,144,UNION,7,DOOLEY
1060,19.185873,2542,2919,2919,13291,291,Union,144,UNION,9,PAT COLWELL
1061,19.686165,2537,2914,2914,13291,291,Union,144,UNION,4,IVY LOG
1062,28.271046,2541,2918,2918,13291,291,Union,144,UNION,8,GUMLOG
1063,22.332418,2532,2911,2911,13291,291,Union,144,UNION,1,BLAIRSVILLE
1064,5.587819,2191,21705CM,21705CM,13217,217,Newton,107,NEWTON,05CM,05-COVINGTON MILLS
1065,7.128582,2188,21702TN,21702TN,13217,217,Newton,107,NEWTON,02TN,02-TOWN
1066,7.379055,2187,21701CP,21701CP,13217,217,Newton,107,NEWTON,01CP,01-CITY POND
1067,15.604143,2202,21717OXF,21717OXF,13217,217,Newton,107,NEWTON,17OXF,17-OXFORD
1068,11.709277,2190,21704ALC,21704ALC,13217,217,Newton,107,NEWTON,04ALC,04-ALCOVY
1069,15.161293,2193,21707BS,21707BS,13217,217,Newton,107,NEWTON,07BS,07-BRICK STORE
1070,12.677618,2563,297416,297416,13297,297,Walton,147,WALTON,416,WALNUT GROVE
1071,14.4885,2570,297423,297423,13297,297,Walton,147,WALTON,423,BROKEN ARROW
1072,7.462366,2574,297427,297427,13297,297,Walton,147,WALTON,427,TARA
1073,19.763641,2576,297502,297502,13297,297,Walton,147,WALTON,502,JERSEY
1074,13.660572,2562,297415,297415,13297,297,Walton,147,WALTON,415,BETWEEN
1075,20.727947,2208,21725HB,21725HB,13217,217,Newton,107,NEWTON,25HB,25-HUB
1076,35.099442,2565,297418,297418,13297,297,Walton,147,WALTON,418,SOCIAL CIRCLE
1077,20.684528,2559,2971675,2971675,13297,297,Walton,147,WALTON,1675,WHATLEY
1078,12.816086,2573,297426,297426,13297,297,Walton,147,WALTON,426,W MONROE
1079,4.906743,2566,297419,297419,13297,297,Walton,147,WALTON,419,SOUTH MONROE
1080,21.197371,2577,297503,297503,13297,297,Walton,147,WALTON,503,BLASINGAME
1081,9.951081,2572,297425,297425,13297,297,Walton,147,WALTON,425,E MONROE
1281,43.808674,710,07703,07703,13077,077,Coweta,38,COWETA,03,PINE ROAD
1282,40.39793,718,07711,07711,13077,077,Coweta,38,COWETA,11,WELCOME
1283,10.906514,722,07715,07715,13077,077,Coweta,38,COWETA,15,SMOKEY ROAD
1284,2.110136,730,07724,07724,13077,077,Coweta,38,COWETA,24,WESTSIDE
1285,2.911205,712,07705,07705,13077,077,Coweta,38,COWETA,05,NEWNAN
1286,3.794671,726,07720,07720,13077,077,Coweta,38,COWETA,20,EXPO CENTER
1287,21.640917,719,07712,07712,13077,077,Coweta,38,COWETA,12,PANTHER CREEK
1288,49.618481,203,045682,045682,13045,045,Carroll,22,CARROLL,682,WHITESBURG
1289,5.670529,723,07717,07717,13077,077,Coweta,38,COWETA,17,CENTRAL
1290,5.436577,725,07719,07719,13077,077,Coweta,38,COWETA,19,GREENTOP
1291,18.940344,720,07713,07713,13077,077,Coweta,38,COWETA,13,RAYMOND
1292,17.304579,724,07718,07718,13077,077,Coweta,38,COWETA,18,NEWNAN CENTRE
1293,8.063622,727,07721,07721,13077,077,Coweta,38,COWETA,21,WHITE OAK
1294,4.472271,731,07725,07725,13077,077,Coweta,38,COWETA,25,NORTHSIDE
1295,49.741894,728,07722,07722,13077,077,Coweta,38,COWETA,22,MADRAS
1296,16.565229,1373,121CH05,121CH05,13121,121,Fulton,60,FULTON,CH05,CH05
1297,9.500472,1371,121CH04A,121CH04A,13121,121,Fulton,60,FULTON,CH04A,CH04A
1298,33.182285,2104,19909,19909,13199,199,Meriwether,99,MERIWETHER,09,MIDDLE 9TH-GAY
1299,36.434074,721,07714,07714,13077,077,Coweta,38,COWETA,14,TURIN
1300,54.014923,2103,19908,19908,13199,199,Meriwether,99,MERIWETHER,08,UPPER 9TH-ALVATON
1301,15.08975,717,07710,07710,13077,077,Coweta,38,COWETA,10,HARALSON
1302,25.696651,708,07701,07701,13077,077,Coweta,38,COWETA,01,SENOIA
1303,25.352163,2270,2311,2311,13231,231,Pike,114,PIKE,1,CONCORD
1304,35.067326,2271,2312,2312,13231,231,Pike,114,PIKE,2,HOLLONVILLE
1305,34.783539,2412,25512,25512,13255,255,Spalding,126,SPALDING,12,12
1306,5.334297,733,07727,07727,13077,077,Coweta,38,COWETA,27,COWETA CENTRAL LIBRARY
1307,8.566043,732,07726,07726,13077,077,Coweta,38,COWETA,26,THOMAS CROSSROADS
1308,19.131342,713,07706,07706,13077,077,Coweta,38,COWETA,06,SHARPSBURG
1309,3.59888,1104,11318,11318,13113,113,Fayette,56,FAYETTE,18,KEDRON
1310,1.66329,1105,11319,11319,13113,113,Fayette,56,FAYETTE,19,ABERDEEN
1311,6.264558,1118,11332,11332,13113,113,Fayette,56,FAYETTE,32,WILLOWBEND
1312,1.391087,1107,11321,11321,13113,113,Fayette,56,FAYETTE,21,FLAT CREEK
1313,0.733024,1103,11317,11317,13113,113,Fayette,56,FAYETTE,17,OAK GROVE
1314,1.132751,1098,11312,11312,13113,113,Fayette,56,FAYETTE,12,SHAKERAG WEST
1315,0.477288,1106,11320,11320,13113,113,Fayette,56,FAYETTE,20,WINDGATE
1316,1.597525,1119,11333,11333,13113,113,Fayette,56,FAYETTE,33,CAMP CREEK
1317,2.391887,1097,11311,11311,13113,113,Fayette,56,FAYETTE,11,SHAKERAG EAST
1318,13.590933,714,07707,07707,13077,077,Coweta,38,COWETA,07,FISCHER ROAD
1319,5.377857,729,07723,07723,13077,077,Coweta,38,COWETA,23,CANNONGATE
1320,6.72542,1095,11309,11309,13113,113,Fayette,56,FAYETTE,09,RAREOVER
1321,11.110659,1451,121PA01,121PA01,13121,121,Fulton,60,FULTON,PA01,PA01
1322,0.016668,1372,121CH04B,121CH04B,13121,121,Fulton,60,FULTON,CH04B,CH04B
1323,3.306144,1410,121FA01D,121FA01D,13121,121,Fulton,60,FULTON,FA01D,FA01D
1324,1.891461,1117,11331,11331,13113,113,Fayette,56,FAYETTE,31,FIELDING RIDGE
1325,3.072388,1102,11316,11316,13113,113,Fayette,56,FAYETTE,16,MCINTOSH
1326,8.332828,1408,121FA01B,121FA01B,13121,121,Fulton,60,FULTON,FA01B,FA01B
1327,12.781217,1096,11310,11310,13113,113,Fayette,56,FAYETTE,10,SANDY CREEK
1328,0.482624,1487,121SC07C,121SC07C,13121,121,Fulton,60,FULTON,SC07C,SC07C
1537,1.998014,1409,121FA01C,121FA01C,13121,121,Fulton,60,FULTON,FA01C,FA01C
1538,6.708995,1120,11334,11334,13113,113,Fayette,56,FAYETTE,34,RISING STAR
1539,1.465679,1108,11322,11322,13113,113,Fayette,56,FAYETTE,22,BRAELINN
1540,13.09639,1099,11313,11313,13113,113,Fayette,56,FAYETTE,13,STARRS MILL
1541,9.919976,1100,11314,11314,13113,113,Fayette,56,FAYETTE,14,WHITEWATER
1542,25.590391,1088,11302,11302,13113,113,Fayette,56,FAYETTE,02,BROOKS
1543,15.888368,1101,11315,11315,13113,113,Fayette,56,FAYETTE,15,WOOLSEY
1544,3.245059,1111,11325,11325,13113,113,Fayette,56,FAYETTE,25,HARPS CROSSING
1545,5.162287,1122,11336,11336,13113,113,Fayette,56,FAYETTE,36,ANTIOCH
1546,4.14541,1116,11330,11330,13113,113,Fayette,56,FAYETTE,30,MURPHY
1547,6.823697,1112,11326,11326,13113,113,Fayette,56,FAYETTE,26,WILLOW POND
1548,12.431819,1113,11327,11327,13113,113,Fayette,56,FAYETTE,27,DOGWOOD
1549,4.323476,1121,11335,11335,13113,113,Fayette,56,FAYETTE,35,SPRING HILL
1550,2.669116,1518,121SC212,121SC212,13121,121,Fulton,60,FULTON,SC212,SC212
