STATEFP20,COUNTYFP20,VTDST20,GEOID20,NAME20,GEOID,ADJPOP,TAWHITEALN,TABLACKCMB,TAAIANCMB,TAASIANCMB,TANHOPICMB,TAOTHERALN,TA2RACE,TAHISPANIC
32,003,004510,32003004510,4510,7000000US32003004510,2682,949,774,140,87,62,462,249,635
32,003,004511,32003004511,4511,7000000US32003004511,3,0,2,2,0,0,1,2,1
32,003,004512,32003004512,4512,7000000US32003004512,1024,329,275,28,176,29,147,146,281
32,003,004513,32003004513,4513,7000000US32003004513,1779,574,114,86,74,23,592,449,1186
32,003,004514,32003004514,4514,7000000US32003004514,5875,990,1177,249,198,35,2436,1134,4085
32,003,004522,32003004522,4522,7000000US32003004522,1454,351,58,29,114,11,626,305,1029
32,003,004523,32003004523,4523,7000000US32003004523,2668,537,583,79,151,17,924,532,1588
32,003,004525,32003004525,4525,7000000US32003004525,3330,911,524,147,200,34,1148,561,1851
32,003,004526,32003004526,4526,7000000US32003004526,1550,236,543,46,99,30,451,279,812
32,003,004527,32003004527,4527,7000000US32003004527,3537,586,1375,109,244,64,890,541,1473
32,003,004528,32003004528,4528,7000000US32003004528,4314,719,1573,97,230,31,1240,627,1978
32,003,004529,32003004529,4529,7000000US32003004529,4048,589,1106,156,154,83,1581,612,2404
32,003,004530,32003004530,4530,7000000US32003004530,3362,609,320,193,236,13,1534,620,2570
32,003,004531,32003004531,4531,7000000US32003004531,5183,961,566,186,195,30,2484,956,3842
32,003,004532,32003004532,4532,7000000US32003004532,2756,512,707,87,102,31,970,491,1596
32,003,004535,32003004535,4535,7000000US32003004535,3678,1022,396,138,96,29,1500,652,2471
32,003,004536,32003004536,4536,7000000US32003004536,4254,856,365,150,239,27,2080,756,3191
32,003,004540,32003004540,4540,7000000US32003004540,2213,613,322,116,122,29,823,385,1336
32,003,004541,32003004541,4541,7000000US32003004541,3550,807,328,146,131,16,1618,614,2615
32,003,004543,32003004543,4543,7000000US32003004543,2430,544,627,112,113,23,756,383,1319
32,003,004546,32003004546,4546,7000000US32003004546,4210,1068,1227,131,265,63,1081,662,1874
32,003,004547,32003004547,4547,7000000US32003004547,2156,374,247,78,67,26,985,491,1591
32,003,004548,32003004548,4548,7000000US32003004548,3224,437,574,133,111,26,1449,608,2321
32,003,004549,32003004549,4549,7000000US32003004549,1987,347,77,83,69,5,955,525,1719
32,003,004550,32003004550,4550,7000000US32003004550,2082,455,73,71,30,7,1120,382,1818
32,003,004551,32003004551,4551,7000000US32003004551,2489,515,577,95,143,21,902,375,1469
32,003,004552,32003004552,4552,7000000US32003004552,3663,631,756,193,163,37,1470,629,2373
32,003,004553,32003004553,4553,7000000US32003004553,5966,1316,1331,177,246,52,2144,1049,3521
32,003,004554,32003004554,4554,7000000US32003004554,1906,198,620,57,47,10,857,181,1104
32,003,004555,32003004555,4555,7000000US32003004555,2991,589,134,117,46,12,1672,500,2504
32,003,004556,32003004556,4556,7000000US32003004556,4569,859,336,158,94,21,2442,807,3776
32,003,004557,32003004557,4557,7000000US32003004557,3573,631,337,96,99,28,1840,644,2846
32,003,004559,32003004559,4559,7000000US32003004559,4377,698,1256,146,110,43,1624,740,2588
